dataset,curve,forecast_min,mae_mmHg
external,mean,-0.018522,-0.133009
external,mean,0.231730,1.250070
external,mean,0.481456,1.834671
external,mean,0.731200,2.445889
external,mean,0.980943,3.057107
external,mean,1.239922,3.668289
external,mean,1.489595,4.173043
external,mean,1.730051,4.704449
external,mean,1.988977,5.235783
external,mean,2.238633,5.713922
external,mean,2.488253,6.138828
external,mean,2.747109,6.563699
external,mean,3.005947,6.961955
external,mean,3.255550,7.360245
external,mean,3.495848,7.652107
external,mean,3.754633,7.970515
external,mean,4.004166,8.262342
external,mean,4.244411,8.474356
external,mean,4.503144,8.712916
external,mean,4.743389,8.924930
external,mean,5.002104,9.136874
external,mean,5.242332,9.322273
external,mean,5.501012,9.480985
external,mean,5.759727,9.692929
external,mean,5.999902,9.798480
external,mean,6.258582,9.957192
external,mean,6.508010,10.089323
external,mean,6.757420,10.194839
external,mean,7.006847,10.326970
external,mean,7.265474,10.405835
external,upper,-0.018364,0.026686
external,upper,0.224374,2.021961
external,upper,0.465461,2.766291
external,upper,0.715819,3.537202
external,upper,0.993915,4.334624
external,upper,1.225803,5.105606
external,upper,1.457551,5.770124
external,upper,1.698427,6.354759
external,upper,1.967325,7.178832
external,upper,2.254551,7.896371
external,upper,2.504733,8.534203
external,upper,2.736305,9.065642
external,upper,3.004886,9.650172
external,upper,3.236247,10.021916
external,upper,3.495523,10.553249
external,upper,3.717614,10.898412
external,upper,3.967445,11.270086
external,upper,4.217311,11.668376
external,upper,4.476236,11.933551
external,upper,4.762935,12.251852
external,upper,5.021966,12.596875
external,upper,5.253151,12.835540
external,upper,5.521241,13.047448
external,upper,5.789471,13.365820
external,upper,6.011281,13.498056
external,upper,6.242397,13.683489
external,upper,6.473512,13.868922
external,upper,6.741567,14.054215
external,upper,7.018856,14.239472
external,upper,7.249901,14.371674
external,lower,-0.009165,0.000035
external,lower,0.277921,0.611111
external,lower,0.546327,1.062562
external,lower,0.777688,1.434306
external,lower,0.990474,1.726272
external,lower,1.286619,2.204234
external,lower,1.536520,2.629139
external,lower,1.767846,2.974267
external,lower,2.036111,3.319255
external,lower,2.295142,3.664277
external,lower,2.554137,3.982684
external,lower,2.766888,4.248035
external,lower,3.016473,4.433398
external,lower,3.303138,4.725083
external,lower,3.561922,4.883795
external,lower,3.848481,5.095633
external,lower,4.107336,5.307577
external,lower,4.310642,5.413268
external,lower,4.578661,5.571945
external,lower,4.819011,5.757342
external,lower,5.022212,5.783186
external,lower,5.308701,5.941792
external,lower,5.595189,6.100399
external,lower,5.807660,6.152823
external,lower,6.029435,6.258443
external,lower,6.269645,6.337378
external,lower,6.574533,6.442683
external,lower,6.759334,6.521828
external,lower,7.045647,6.547355
external,lower,7.267317,6.573128
internal,mean,-0.000070,-0.026636
internal,mean,0.232935,0.665834
internal,mean,0.502087,1.039794
internal,mean,0.752604,1.360481
internal,mean,1.003121,1.681168
internal,mean,1.244320,1.975219
internal,mean,1.494767,2.269340
internal,mean,1.763849,2.616733
internal,mean,2.014296,2.910854
internal,mean,2.265023,3.311239
internal,mean,2.506153,3.578724
internal,mean,2.775234,3.926118
internal,mean,3.016504,4.246734
internal,mean,3.257563,4.487653
internal,mean,3.517187,4.755278
internal,mean,3.767423,4.969702
internal,mean,4.017590,5.157559
internal,mean,4.277143,5.398618
internal,mean,4.518062,5.586405
internal,mean,4.786723,5.774402
internal,mean,5.027501,5.909057
internal,mean,5.268279,6.043712
internal,mean,5.536800,6.178577
internal,mean,5.777578,6.313232
internal,mean,6.036781,6.421461
internal,mean,6.277419,6.502984
internal,mean,6.527374,6.611143
internal,mean,6.786437,6.666241
internal,mean,7.036392,6.774400
internal,mean,7.304772,6.856133
internal,upper,0.000000,-0.000070
internal,upper,0.234900,1.409682
internal,upper,0.495577,2.075798
internal,upper,0.746655,2.609013
internal,upper,1.006981,3.142298
internal,upper,1.257849,3.595815
internal,upper,1.499610,4.102394
internal,upper,1.740950,4.449576
internal,upper,1.991888,4.929660
internal,upper,2.252003,5.383247
internal,upper,2.475130,5.836553
internal,upper,2.698046,6.210162
internal,upper,3.023102,6.743938
internal,upper,3.245877,7.064415
internal,upper,3.478040,7.438093
internal,upper,3.737664,7.705719
internal,upper,3.969757,8.052831
internal,upper,4.257263,8.373799
internal,upper,4.498322,8.614718
internal,upper,4.739381,8.855637
internal,upper,5.035853,9.070411
internal,upper,5.249031,9.257987
internal,upper,5.527008,9.472621
internal,upper,5.730798,9.606995
internal,upper,5.980894,9.768286
internal,upper,6.267908,9.903292
internal,upper,6.490263,10.064372
internal,upper,6.758853,10.225803
internal,upper,7.045938,10.387375
internal,upper,7.286646,10.495464
internal,lower,0.009107,-0.053132
internal,lower,0.240428,0.001755
internal,lower,0.490102,0.003650
internal,lower,0.739637,-0.047587
internal,lower,1.008297,0.140410
internal,lower,1.258393,0.301701
internal,lower,1.508559,0.489558
internal,lower,1.786607,0.730758
internal,lower,2.009032,0.918404
internal,lower,2.277692,1.106402
internal,lower,2.574305,1.374308
internal,lower,2.796659,1.535388
internal,lower,3.009836,1.722965
internal,lower,3.296991,1.911102
internal,lower,3.528593,2.072253
internal,lower,3.760054,2.180272
internal,lower,4.037891,2.341773
internal,lower,4.287777,2.423366
internal,lower,4.556227,2.531666
internal,lower,4.787688,2.639685
internal,lower,5.019149,2.747703
internal,lower,5.306023,2.829577
internal,lower,5.555978,2.937736
internal,lower,5.842712,2.966478
internal,lower,6.064786,3.021294
internal,lower,6.296106,3.076181
internal,lower,6.555169,3.131278
internal,lower,6.767995,3.186025
internal,lower,7.026987,3.214556
internal,lower,7.276662,3.216451
