cohort,model,split_silhouette,balance,ami_stratum,ami_hypo5,auc_MAPlevel,auc_embL2norm,case_purity,ami_department
VitalDB,TiRex-2,0.472,0.317,-0.0,-0.0,0.51,1.0,0.583,-0.0
VitalDB,Chronos-Bolt,0.106,0.284,0.001,0.031,0.734,0.817,0.7,0.0
VitalDB,TimesFM-2.5,0.789,0.344,-0.0,-0.0,0.503,1.0,0.521,-0.0
VitalDB,Moirai-1.1-R,0.1,0.433,0.005,0.009,0.529,0.699,0.677,0.001
VitalDB,TFT,0.232,0.411,0.011,-0.0,0.5,0.559,0.987,0.259
VitalDB,PatchTST,0.217,0.446,0.009,0.004,0.561,0.792,0.913,0.156
MOVER,TiRex-2,0.288,0.272,0.0,-0.0,0.508,0.628,0.638,
MOVER,Chronos-Bolt,0.064,0.436,0.0,0.016,0.67,0.572,0.511,
MOVER,TimesFM-2.5,0.816,0.344,0.0,0.0,0.509,1.0,0.381,
MOVER,Moirai-1.1-R,0.171,0.488,-0.0,0.019,0.508,0.943,0.593,
MOVER,TFT,0.418,0.407,0.0,0.004,0.517,0.502,0.891,
MOVER,PatchTST,0.198,0.495,0.001,0.043,0.667,0.575,0.743,
