cohort,model,type,horizon_min,prevalence,AUROC,AUROC_sd,AUPRC
VitalDB,TiRex-2,zero-shot,1,0.068,0.441,0.031,0.066
VitalDB,TiRex-2,zero-shot,2,0.084,0.455,0.022,0.08
VitalDB,TiRex-2,zero-shot,3,0.095,0.462,0.014,0.092
VitalDB,TiRex-2,zero-shot,5,0.114,0.464,0.034,0.113
VitalDB,TiRex-2,zero-shot,10,0.155,0.479,0.026,0.153
VitalDB,TiRex-2,zero-shot,15,0.182,0.485,0.02,0.179
VitalDB,Chronos-Bolt,zero-shot,1,0.068,0.706,0.034,0.143
VitalDB,Chronos-Bolt,zero-shot,2,0.084,0.688,0.034,0.16
VitalDB,Chronos-Bolt,zero-shot,3,0.095,0.7,0.01,0.193
VitalDB,Chronos-Bolt,zero-shot,5,0.114,0.656,0.012,0.187
VitalDB,Chronos-Bolt,zero-shot,10,0.155,0.624,0.015,0.242
VitalDB,Chronos-Bolt,zero-shot,15,0.182,0.615,0.019,0.255
VitalDB,TimesFM-2.5,zero-shot,1,0.068,0.531,0.033,0.087
VitalDB,TimesFM-2.5,zero-shot,2,0.084,0.513,0.026,0.1
VitalDB,TimesFM-2.5,zero-shot,3,0.095,0.521,0.036,0.111
VitalDB,TimesFM-2.5,zero-shot,5,0.114,0.522,0.024,0.13
VitalDB,TimesFM-2.5,zero-shot,10,0.155,0.501,0.007,0.166
VitalDB,TimesFM-2.5,zero-shot,15,0.182,0.483,0.029,0.181
VitalDB,Moirai-1.1-R,zero-shot,1,0.068,0.697,0.029,0.141
VitalDB,Moirai-1.1-R,zero-shot,2,0.084,0.715,0.024,0.205
VitalDB,Moirai-1.1-R,zero-shot,3,0.095,0.705,0.015,0.208
VitalDB,Moirai-1.1-R,zero-shot,5,0.114,0.691,0.03,0.25
VitalDB,Moirai-1.1-R,zero-shot,10,0.155,0.67,0.03,0.296
VitalDB,Moirai-1.1-R,zero-shot,15,0.182,0.657,0.02,0.299
VitalDB,TFT,task-trained,1,0.068,0.974,0.006,0.752
VitalDB,TFT,task-trained,2,0.084,0.964,0.004,0.721
VitalDB,TFT,task-trained,3,0.095,0.954,0.008,0.721
VitalDB,TFT,task-trained,5,0.114,0.939,0.012,0.686
VitalDB,TFT,task-trained,10,0.155,0.911,0.009,0.696
VitalDB,TFT,task-trained,15,0.182,0.892,0.012,0.689
VitalDB,PatchTST,task-trained,1,0.068,0.821,0.019,0.269
VitalDB,PatchTST,task-trained,2,0.084,0.818,0.015,0.299
VitalDB,PatchTST,task-trained,3,0.095,0.81,0.006,0.319
VitalDB,PatchTST,task-trained,5,0.114,0.785,0.013,0.334
VitalDB,PatchTST,task-trained,10,0.155,0.768,0.013,0.382
VitalDB,PatchTST,task-trained,15,0.182,0.75,0.014,0.391
MOVER,TiRex-2,zero-shot,1,0.205,0.485,0.022,0.206
MOVER,TiRex-2,zero-shot,2,0.233,0.486,0.013,0.238
MOVER,TiRex-2,zero-shot,3,0.258,0.503,0.029,0.267
MOVER,TiRex-2,zero-shot,5,0.298,0.504,0.019,0.307
MOVER,TiRex-2,zero-shot,10,0.371,0.481,0.014,0.369
MOVER,TiRex-2,zero-shot,15,0.412,0.482,0.03,0.403
MOVER,Chronos-Bolt,zero-shot,1,0.205,0.623,0.014,0.284
MOVER,Chronos-Bolt,zero-shot,2,0.233,0.621,0.029,0.327
MOVER,Chronos-Bolt,zero-shot,3,0.258,0.615,0.004,0.339
MOVER,Chronos-Bolt,zero-shot,5,0.298,0.601,0.024,0.381
MOVER,Chronos-Bolt,zero-shot,10,0.371,0.604,0.006,0.462
MOVER,Chronos-Bolt,zero-shot,15,0.412,0.592,0.017,0.493
MOVER,TimesFM-2.5,zero-shot,1,0.205,0.472,0.025,0.197
MOVER,TimesFM-2.5,zero-shot,2,0.233,0.486,0.012,0.229
MOVER,TimesFM-2.5,zero-shot,3,0.258,0.493,0.015,0.256
MOVER,TimesFM-2.5,zero-shot,5,0.298,0.49,0.024,0.297
MOVER,TimesFM-2.5,zero-shot,10,0.371,0.512,0.006,0.383
MOVER,TimesFM-2.5,zero-shot,15,0.412,0.504,0.008,0.416
MOVER,Moirai-1.1-R,zero-shot,1,0.205,0.63,0.019,0.312
MOVER,Moirai-1.1-R,zero-shot,2,0.233,0.618,0.019,0.333
MOVER,Moirai-1.1-R,zero-shot,3,0.258,0.614,0.021,0.363
MOVER,Moirai-1.1-R,zero-shot,5,0.298,0.626,0.004,0.417
MOVER,Moirai-1.1-R,zero-shot,10,0.371,0.604,0.016,0.475
MOVER,Moirai-1.1-R,zero-shot,15,0.412,0.602,0.014,0.519
MOVER,TFT,task-trained,1,0.205,0.951,0.007,0.828
MOVER,TFT,task-trained,2,0.233,0.938,0.014,0.823
MOVER,TFT,task-trained,3,0.258,0.925,0.016,0.82
MOVER,TFT,task-trained,5,0.298,0.915,0.01,0.83
MOVER,TFT,task-trained,10,0.371,0.896,0.009,0.849
MOVER,TFT,task-trained,15,0.412,0.884,0.007,0.855
MOVER,PatchTST,task-trained,1,0.205,0.812,0.019,0.511
MOVER,PatchTST,task-trained,2,0.233,0.801,0.028,0.528
MOVER,PatchTST,task-trained,3,0.258,0.791,0.025,0.545
MOVER,PatchTST,task-trained,5,0.298,0.785,0.01,0.591
MOVER,PatchTST,task-trained,10,0.371,0.776,0.015,0.654
MOVER,PatchTST,task-trained,15,0.412,0.769,0.027,0.683
